date,hosp,vent
2020-01-05,1,0
2020-01-06,1,0
2020-01-07,1,0
2020-01-08,1,0
2020-01-09,1,0
2020-01-10,1,0
2020-01-11,1,0
2020-01-12,1,0
2020-01-13,1,0
2020-01-14,1,0
2020-01-15,1,0
2020-01-16,1,0
2020-01-17,1,0
2020-01-18,1,0
2020-01-19,1,0
2020-01-20,1,0
2020-01-21,1,0
2020-01-22,1,0
2020-01-23,1,0
2020-01-24,1,0
2020-01-25,1,0
2020-01-26,1,0
2020-01-27,1,0
2020-01-28,1,0
2020-01-29,1,0
2020-01-30,1,0
2020-01-31,1,0
2020-02-01,1,0
2020-02-02,1,0
2020-02-03,1,0
2020-02-04,1,0
2020-02-05,1,0
2020-02-06,1,0
2020-02-07,2,0
2020-02-08,2,0
2020-02-09,2,0
2020-02-10,2,0
2020-02-11,2,0
2020-02-12,2,0
2020-02-13,2,0
2020-02-14,2,0
2020-02-15,2,0
2020-02-16,2,0
2020-02-17,2,0
2020-02-18,2,0
2020-02-19,2,0
2020-02-20,2,0
2020-02-21,2,0
2020-02-22,2,0
2020-02-23,2,0
2020-02-24,2,0
2020-02-25,2,0
2020-02-26,2,0
2020-02-27,2,0
2020-02-28,2,0
2020-02-29,2,0
2020-03-01,2,0
2020-03-02,2,0
2020-03-03,2,0
2020-03-04,2,0
2020-03-05,2,0
2020-03-06,2,0
2020-03-07,2,0
2020-03-08,2,0
2020-03-09,2,0
2020-03-10,2,0
2020-03-11,2,0
2020-03-12,2,0
2020-03-13,2,0
2020-03-14,3,0
2020-03-15,3,0
2020-03-16,3,0
2020-03-17,4,0
2020-03-18,4,0
2020-03-19,6,0
2020-03-20,7,0
2020-03-21,6,0
2020-03-22,8,0
2020-03-23,9,1
2020-03-24,10,1
2020-03-25,10,2
2020-03-26,12,2
2020-03-27,12,2
2020-03-28,11,2
2020-03-29,13,2
2020-03-30,15,3
2020-03-31,17,5
2020-04-01,17,7
2020-04-02,18,7
2020-04-03,16,7
2020-04-04,19,7
2020-04-05,22,7
2020-04-06,23,7
2020-04-07,26,9
2020-04-08,27,11
2020-04-09,27,10
2020-04-10,29,11
2020-04-11,31,12
2020-04-12,32,12
2020-04-13,32,11
2020-04-14,32,7
2020-04-15,30,7
2020-04-16,31,6
2020-04-17,30,6
2020-04-18,30,4
2020-04-19,30,5
2020-04-20,31,4
2020-04-21,29,4
2020-04-22,30,4
2020-04-23,30,3
2020-04-24,28,4
2020-04-25,28,2
2020-04-26,29,1
2020-04-27,34,2
2020-04-28,35,4
2020-04-29,34,3
2020-04-30,32,2
2020-05-01,35,3
2020-05-02,35,3
2020-05-03,32,4
2020-05-04,29,2
2020-05-05,23,2
2020-05-06,22,2
2020-05-07,22,1
2020-05-08,22,1
2020-05-09,22,1
2020-05-10,22,1
2020-05-11,21,1
2020-05-12,24,2
2020-05-13,22,2
2020-05-14,22,2
2020-05-15,23,1
2020-05-16,24,1
2020-05-17,24,1
2020-05-18,23,1
2020-05-19,23,1
2020-05-20,19,1
2020-05-21,18,1
2020-05-22,18,1
2020-05-23,19,1
2020-05-24,19,1
2020-05-25,19,1